# MaNGA_plate MaNGA_IFU NSAID ra dec redshift ba phi Mstar rabsmag plate MJD fiberID index imc aimc smoothness_score logHI WF50 WP20 galID FHI Total_Ha_flux
8939 12704 315868 125.687370639 24.2969703898 0.012853 0.844731 122.186 11279500000.0 -20.2376 1585 52962 25 1819519 2.0 -2.0 nan 10.050000190734863 450.30642298214684 534.3885351572364 8939-12704 14.739999771118164 nan
9507 12704 647713 129.600036621 25.7545013428 0.0181814 0.850208 49.2228 15330500000.0 -20.4859 1930 53347 477 1855126 2.0 26.45 nan 9.470000267028809 157.66071995536652 180.45504091276888 9507-12704 1.909999966621399 nan
8942 12703 231299 125.21338865 28.4058888443 0.0154449 0.461519 115.538 550312000.0 -17.0032 1207 52672 201 1035105 2.0 55.1 nan 9.199999809265137 204.02864720354242 278.4258334766573 8942-12703 1.4700000286102295 nan
8940 12702 173375 120.087417603 26.613527298 0.0267379 0.734859 114.25 44110400000.0 -21.337 929 52581 142 878643 2.0 0.0 nan 10.140000343322754 594.2025475719039 549.9691073060053 8940-12702 4.21999979019165 nan
8982 12702 484109 202.623387924 26.5145483668 0.0250234 0.391208 48.8718 238771000.0 -17.2953 2244 53795 637 2226374 2.0 115.14 nan 9.050000190734863 68.45576811268691 193.4147099056868 8982-12702 0.3799999952316284 nan
9493 12702 407342 129.012733645 23.9118395792 0.0121797 0.435525 46.151 210392000.0 -16.4453 1929 53349 526 1876778 2.0 105.88 nan 9.069999694824219 156.63592510904022 213.2914724889058 9493-12702 1.690000057220459 nan
8934 12702 483200 195.358852894 27.8859851519 0.018252 0.930891 127.324 71801300000.0 -21.7127 2241 54169 592 2243644 2.0 17.09 nan 9.229999542236328 490.01214865324755 347.6622507204606 8934-12702 0.6899999976158142 nan
9507 12701 316095 128.250742039 26.0140506945 0.0176283 0.293348 111.051 4734820000.0 -19.297 1586 52945 13 1151344 2.0 36.75 nan 9.619999885559082 301.2534253027302 313.8056513570106 9507-12701 3.809999942779541 nan
8322 3701 443125 199.066481776 30.264531572 0.0491864 0.871888 156.049 30956900000.0 -21.6512 2104 53852 123 1986946 2.0 59.25 0.39676402840772856 10.390000343322754 641.2019174447271 575.856499106411 8322-3701 2.2899999618530273 nan
8322 12705 611565 201.105947287 30.9592888955 0.0485022 0.76491 141.449 67004000000.0 -21.811 6492 56362 450 -1 -1.0 -1.0 0.8233691197879623 10.489999771118164 928.373689957415 229.76472594263782 8322-12705 2.9700000286102295 nan
8322 12703 443365 200.702317907 31.3244967036 0.023701 0.765565 134.052 714012000.0 -18.1752 2104 53852 599 1938932 2.0 46.17 1.1959927550747864 9.430000305175781 239.36885382691332 76.16281712674514 8322-12703 1.0399999618530273 nan
8322 9101 630085 199.60756 31.46795 0.018693 0.824026 150.579 2508700000.0 -19.7736 0 0 0 -1 -1.0 -1.0 0.7564427793309952 9.569999694824219 153.5604893379106 407.72957513859023 8322-9101 2.319999933242798 nan
